relative_time,data_id,co2_concentration,brix,out_temperature,in_temperature,ph,pressure_upper,pressure_lower,batch_id
3720.0,746.0,23401.0,0.0,27.875,27.875,0.0,1006.4779,0.0,5.0
3780.0,747.0,23683.0,0.0,27.937,27.937,0.0,1006.4378,0.0,5.0
3840.0,748.0,23915.0,0.0,27.937,27.937,0.0,1006.5375,0.0,5.0
3900.0,749.0,24146.0,0.0,28.0,28.0,0.0,1006.285,0.0,5.0
3960.0,750.0,24363.0,0.0,28.0,28.0,0.0,1006.4295,0.0,5.0
4020.0,751.0,24604.0,0.0,27.937,27.937,0.0,1006.3804,0.0,5.0
4080.0,752.0,24823.0,0.0,27.937,27.937,0.0,1006.332,0.0,5.0
4140.0,753.0,25007.0,0.0,28.0,28.0,0.0,1006.4175,0.0,5.0
4200.0,754.0,25205.0,0.0,28.0,28.0,0.0,1006.5525,0.0,5.0
4260.0,755.0,25410.0,0.0,28.0,28.0,0.0,1006.3568,0.0,5.0
4320.0,756.0,25591.0,0.0,28.0,28.0,0.0,1006.4335,0.0,5.0
4380.0,757.0,25768.0,0.0,28.0,28.0,0.0,1006.3396,0.0,5.0
4440.0,758.0,25945.0,0.0,28.0,28.0,0.0,1006.2792,0.0,5.0
4500.0,759.0,26100.0,0.0,28.0,28.0,0.0,1006.4708,0.0,5.0
4560.0,760.0,26272.0,0.0,28.0,28.0,0.0,1006.3866,0.0,5.0
4620.0,761.0,26465.0,0.0,28.062,28.062,0.0,1006.5375,0.0,5.0
4680.0,762.0,26628.0,0.0,28.125,28.125,0.0,1006.4769,0.0,5.0
4740.0,763.0,26790.0,0.0,28.062,28.062,0.0,1006.3243,0.0,5.0
4800.0,764.0,26922.0,0.0,28.062,28.062,0.0,1006.3427,0.0,5.0
4860.0,765.0,27065.0,0.0,28.062,28.062,0.0,1006.5289,0.0,5.0
4920.0,766.0,27202.0,0.0,28.062,28.062,0.0,1006.3658,0.0,5.0
4980.0,767.0,27352.0,0.0,28.125,28.125,0.0,1006.4766,0.0,5.0
5040.0,768.0,27481.0,0.0,28.125,28.125,0.0,1006.3482,0.0,5.0
5100.0,769.0,27626.0,0.0,28.062,28.062,0.0,1006.4619,0.0,5.0
